Player,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Cameron Johnson,14.0,3.2,2.5,0.5,0.7,0.58,0.813,2.2,0.5,6,27.7,2.2,2.7,6.5,2.3
Jaime Jaquez Jr.,13.9,4.0,6.6,0.1,0.4,0.467,0.909,1.0,1.1,7,29.0,2.9,4.0,22.0,2.0
Alex Sarr,13.8,4.8,0.5,2.3,1.0,0.468,0.667,1.8,1.5,4,20.6,1.0,3.8,2.0,1.5
Jarace Walker,13.6,6.8,3.6,0.1,0.9,0.459,0.75,1.6,2.1,8,31.5,2.3,3.3,8.5,2.0
Onyeka Okongwu,13.5,7.2,2.7,1.8,1.5,0.508,0.588,1.5,1.0,6,31.1,1.7,3.7,15.5,3.2
Devin Carter,13.5,4.5,3.0,0.0,1.0,0.588,1.0,1.5,1.0,2,11.2,2.0,3.5,1.5,1.0
Wendell Carter Jr.,13.4,7.0,2.4,0.8,1.0,0.594,0.774,0.9,1.0,8,28.9,3.0,3.9,12.0,2.6
Kyle Kuzma,13.4,2.4,3.1,0.4,1.0,0.537,0.727,2.0,1.7,7,26.5,1.1,3.1,11.2,2.6
Andrew Nembhard,13.4,2.6,6.2,0.0,1.4,0.431,0.783,1.0,1.8,5,26.5,3.6,3.4,16.2,1.2
Olivier-Maxence Prosper,13.3,4.7,1.0,0.6,1.1,0.507,0.5,1.9,1.4,7,25.9,1.4,3.1,5.5,2.6
Dyson Daniels,13.2,9.0,4.8,0.8,1.8,0.625,0.714,0.2,1.0,5,33.8,1.0,5.8,7.5,1.8
Taylor Hendricks,13.2,5.4,1.2,1.4,1.4,0.556,0.778,1.8,1.4,5,25.3,1.4,3.2,4.0,1.8
Tim Hardaway Jr.,13.1,2.1,1.7,0.0,0.4,0.439,0.65,3.0,0.9,7,24.1,1.9,1.1,7.5,1.7
Donovan Clingan,13.0,12.1,2.3,2.6,0.9,0.492,0.718,0.4,1.4,7,25.0,4.0,3.9,8.0,2.6
