RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,USGPCT,PCTFGM,PCTFGA,PCT3PM,PCT3PA,PCTFTM,PCTFTA,PCTOREB,PCTDREB,PCTREB,PCTAST,PCTTOV,PCTSTL,PCTBLK,PCTBLKA,PCTPF,PCTPFD,PCTPTS
231,CHRISTIAN BRAUN,DEN,24,9,7,2,280.0,16.7,15.7,17.2,5.9,11.8,15.3,17.6,26.2,13.6,16.6,14.8,15.5,14.5,15.8,30.0,19.5,14.2,14.7
232,WENDELL CARTER JR.,ORL,26,11,5,6,318.0,16.7,18.0,16.2,23.4,16.2,17.3,17.9,42.4,21.9,27.6,11.4,18.9,16.0,29.0,25.8,28.6,19.7,18.3
233,JACOB TOPPIN,ATL,25,3,2,1,9.0,16.7,37.5,23.5,0.0,0.0,0.0,0.0,0.0,20.0,14.3,0.0,0.0,0.0,0.0,0.0,25.0,0.0,28.6
233,RON HARPER JR.,BOS,25,2,1,1,11.0,16.7,8.3,19.2,0.0,40.0,0.0,0.0,25.0,28.6,27.3,37.5,0.0,0.0,0.0,0.0,20.0,0.0,6.7
233,WALKER KESSLER,UTA,24,5,2,3,154.0,16.7,21.1,14.0,14.0,6.2,16.7,20.2,47.9,30.1,35.8,16.9,29.1,30.4,60.0,31.3,29.7,15.0,19.3
236,SAM MERRILL,CLE,29,8,6,2,208.0,16.6,19.2,18.7,37.2,31.5,11.5,8.8,10.3,6.1,7.4,16.1,11.7,10.8,5.9,0.0,25.5,15.0,20.6
237,JORDAN GOODWIN,PHX,27,8,5,3,119.0,16.5,12.5,16.7,15.9,21.1,11.6,12.7,21.1,16.2,17.9,18.6,21.6,47.6,9.1,0.0,21.1,9.3,12.9
238,KELDON JOHNSON,SAS,26,10,8,2,235.0,16.5,23.5,18.2,14.9,12.0,19.8,18.6,37.1,17.7,23.7,14.8,9.6,18.6,0.0,55.6,17.4,15.7,22.0
239,MARVIN BAGLEY III,WAS,26,11,1,10,161.0,16.5,25.2,16.7,7.1,5.0,17.6,18.9,55.0,21.7,30.3,18.9,17.5,24.0,46.7,31.3,29.1,18.8,21.8
240,SANDRO MAMUKELASHVILI,TOR,26,10,5,5,178.0,16.4,19.5,16.0,17.9,16.0,22.9,21.7,28.9,18.4,20.9,16.0,18.5,12.8,25.0,14.3,18.3,16.4,19.8
241,PAUL REED,DET,26,9,7,2,85.0,16.4,24.7,17.8,12.5,7.8,0.0,6.9,47.1,34.0,39.5,8.5,22.2,22.2,54.5,0.0,37.2,12.5,19.0
242,TIM HARDAWAY JR.,DEN,33,9,7,2,206.0,16.3,17.6,19.1,41.1,35.7,9.6,9.5,6.0,9.3,8.5,10.2,5.4,12.5,0.0,4.3,15.9,10.5,18.8
243,MARCUS SMART,LAL,31,9,7,2,259.0,16.2,12.4,14.9,16.7,21.2,16.9,15.4,11.4,8.5,9.1,22.7,27.5,39.6,10.0,12.5,23.4,20.4,13.8
243,MARK WILLIAMS,PHX,23,10,6,4,251.0,16.2,20.3,16.5,0.0,0.0,26.6,29.4,49.2,35.0,38.7,5.8,9.2,24.1,40.9,36.4,24.8,26.1,18.7
245,ISAIAH HARTENSTEIN,OKC,27,11,10,1,331.0,16.2,20.7,14.8,0.0,1.3,15.9,19.7,45.1,37.7,39.5,19.8,27.4,21.6,22.6,16.7,23.3,22.7,17.8
246,GG JACKSON,MEM,20,5,2,3,21.0,16.1,18.2,20.5,0.0,17.4,12.5,20.0,16.7,16.7,16.7,0.0,0.0,50.0,0.0,0.0,33.3,16.7,14.0
247,PELLE LARSSON,MIA,24,11,7,4,227.0,16.1,17.3,15.7,16.1,18.3,21.2,21.1,12.9,16.4,15.8,19.6,17.9,13.3,0.0,15.8,21.4,27.5,17.8
248,JAVON SMALL,MEM,22,8,4,4,99.0,16.1,12.0,15.4,18.8,21.8,15.7,15.2,5.3,9.5,8.6,33.8,25.8,0.0,6.7,25.0,20.0,17.8,13.7
249,MAXIME RAYNAUD,SAC,22,5,2,3,59.0,16.0,11.8,15.3,0.0,5.0,28.0,28.6,60.0,27.9,34.0,9.4,13.0,25.0,50.0,22.2,19.0,23.1,13.4
250,KEVIN LOVE,UTA,37,5,1,4,65.0,15.9,9.1,13.5,14.3,23.1,18.6,20.4,28.6,37.5,35.2,29.3,23.8,0.0,25.0,0.0,16.7,24.2,12.1
251,JORDAN HAWKINS,NOP,23,9,2,7,135.0,15.9,11.4,19.7,18.5,28.6,8.6,8.8,11.4,13.0,12.5,8.5,7.1,9.5,0.0,5.9,7.3,9.5,11.5
252,TOUMANI CAMARA,POR,25,10,5,5,337.0,15.8,15.1,17.3,20.6,22.4,7.9,9.3,19.6,15.7,16.9,16.4,13.3,16.7,14.7,30.6,19.3,22.8,14.5
253,COLBY JONES,DET,23,1,0,1,7.0,15.8,14.3,23.1,0.0,50.0,0.0,0.0,0.0,50.0,33.3,50.0,0.0,0.0,0.0,0.0,100,0.0,10.0
253,HUNTER SALLIS,PHI,22,3,2,1,7.0,15.8,12.5,6.7,0.0,0.0,0.0,0.0,0.0,50.0,25.0,16.7,100,0.0,0.0,0.0,33.3,0.0,10.5
253,RASHEER FLEMING,PHX,21,6,4,2,28.0,15.8,20.0,26.1,33.3,30.4,0.0,0.0,37.5,14.3,22.7,15.4,0.0,10.0,25.0,0.0,31.3,0.0,15.6
256,RUI HACHIMURA,LAL,27,11,8,3,382.0,15.8,20.0,17.4,26.8,17.0,11.4,12.3,11.7,13.4,12.9,6.7,11.5,7.8,12.0,19.4,15.3,9.6,18.9
257,JEREMY SOCHAN,SAS,22,4,3,1,68.0,15.7,18.2,16.5,6.7,10.6,16.2,19.5,27.3,14.3,17.4,16.2,14.3,21.4,50.0,0.0,25.0,25.9,16.7
258,LUKA GARZA,BOS,26,10,5,5,134.0,15.7,18.4,14.8,9.5,10.4,38.2,36.2,51.3,18.8,29.4,16.7,13.9,15.4,66.7,35.7,44.1,27.5,19.4
259,JALEN WILSON,BKN,25,9,1,8,156.0,15.7,15.0,16.4,23.1,19.9,17.9,16.3,4.3,9.2,7.5,9.1,16.3,9.5,0.0,10.5,18.9,15.8,16.8
260,JAY HUFF,IND,28,10,1,9,152.0,15.7,19.2,17.5,24.3,24.6,11.6,10.6,22.4,19.5,20.4,13.8,12.2,4.8,67.9,0.0,28.0,13.0,18.2
261,KHAMAN MALUACH,PHX,19,6,4,2,28.0,15.7,8.3,9.6,0.0,7.1,41.2,42.1,11.1,21.4,17.4,7.1,28.6,0.0,75.0,100,50.0,42.9,15.1
262,GARY TRENT JR.,MIL,26,11,7,4,309.0,15.7,14.0,17.8,27.2,28.6,12.9,11.7,1.8,10.0,8.3,14.0,8.2,27.1,2.9,7.1,15.4,11.2,15.7
263,MAX CHRISTIE,DAL,22,11,3,8,329.0,15.6,19.1,18.1,37.7,28.1,8.5,8.1,1.7,13.6,11.2,16.1,11.0,9.8,15.8,12.1,12.1,8.8,18.8
264,JAE'SEAN TATE,HOU,30,5,4,1,27.0,15.6,15.8,20.9,0.0,14.3,0.0,0.0,0.0,23.5,18.2,0.0,9.1,20.0,0.0,0.0,33.3,0.0,11.8
265,QUINTEN POST,GSW,25,11,6,5,176.0,15.6,16.5,17.7,24.1,24.2,6.3,6.8,24.4,26.7,26.1,9.9,11.7,20.0,46.7,25.0,19.2,9.8,16.0
266,NAJI MARSHALL,DAL,27,11,3,8,270.0,15.5,17.1,16.3,11.3,15.4,24.6,22.5,12.5,20.7,18.9,20.5,10.0,28.6,0.0,31.6,19.8,17.8,18.3
267,MOUHAMED GUEYE,ATL,23,11,6,5,186.0,15.5,18.3,17.1,18.9,19.4,7.6,11.4,36.4,25.7,27.8,13.6,14.5,10.3,32.0,0.0,28.4,11.8,16.8
268,WALTER CLAYTON JR.,UTA,22,10,3,7,165.0,15.5,15.6,16.5,18.8,18.8,12.0,9.7,11.8,17.1,15.5,32.7,20.0,16.7,23.1,15.8,24.3,13.7,15.3
269,RYAN DUNN,PHX,22,11,6,5,268.0,15.4,17.3,16.6,13.6,16.8,7.4,9.2,31.5,22.3,25.1,13.2,14.6,20.8,34.5,9.5,20.0,7.5,15.4
270,AJ JOHNSON,WAS,20,7,0,7,35.0,15.3,6.7,15.6,0.0,10.0,21.4,20.0,22.2,9.1,12.9,20.0,9.1,0.0,0.0,50.0,18.8,20.0,8.8
271,MOUSSA DIABATÉ,CHA,23,10,3,7,209.0,15.2,22.1,15.2,0.0,0.0,24.0,30.4,55.6,24.3,34.0,5.4,7.9,20.0,62.5,18.8,23.5,29.1,19.7
272,EGOR DËMIN,BKN,19,9,1,8,181.0,15.2,14.3,15.4,21.9,21.7,4.1,4.4,8.3,23.5,18.7,31.1,21.4,25.8,16.7,7.7,17.8,11.3,13.6
273,JOSH MINOTT,BOS,22,10,5,5,221.0,15.2,15.7,15.3,17.5,16.2,21.2,20.0,33.8,25.7,28.3,12.5,12.5,29.2,14.8,29.4,23.1,12.8,16.6
274,WILL RILEY,WAS,19,8,1,7,61.0,15.2,14.6,15.5,8.3,9.5,14.3,19.4,15.4,25.0,22.8,21.2,10.0,40.0,0.0,9.1,6.9,13.0,14.0
275,CODY WILLIAMS,UTA,20,5,1,4,48.0,15.1,17.1,16.5,20.0,19.4,3.7,6.1,7.1,16.0,12.8,6.9,20.0,11.1,16.7,11.1,26.9,7.4,14.3
276,JA'KOBE WALTER,TOR,21,7,4,3,77.0,15.1,9.4,14.6,19.0,24.2,15.6,12.5,21.4,12.5,14.5,10.0,25.0,25.0,20.0,18.2,28.2,17.2,11.9
276,LARRY NANCE JR.,CLE,32,9,6,3,150.0,15.1,14.5,17.9,12.8,16.1,1.7,3.7,33.3,24.7,26.6,16.3,11.1,16.7,13.3,27.3,31.3,8.6,12.1
278,ROYCE O'NEALE,PHX,32,11,6,5,338.0,15.1,16.8,16.9,33.1,29.6,1.6,2.7,14.8,23.1,20.9,18.3,16.2,23.2,5.9,3.0,19.4,5.6,16.9
