RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,USGPCT,PCTFGM,PCTFGA,PCT3PM,PCT3PA,PCTFTM,PCTFTA,PCTOREB,PCTDREB,PCTREB,PCTAST,PCTTOV,PCTSTL,PCTBLK,PCTBLKA,PCTPF,PCTPFD,PCTPTS
326,ALEX CARUSO,OKC,31,7,7,0,149.0,13.7,9.7,14.3,22.0,22.7,9.1,8.8,7.4,13.0,11.8,20.0,15.6,30.8,13.6,16.7,10.2,14.5,11.0
327,JOSE ALVARADO,NOP,27,9,2,7,167.0,13.6,15.3,15.1,31.1,23.8,10.3,9.9,6.5,21.4,16.8,30.7,11.1,27.3,0.0,15.0,17.9,14.8,16.1
328,LUKE KENNARD,ATL,29,9,5,4,222.0,13.5,13.5,13.7,19.6,17.8,13.2,10.7,14.6,8.9,10.2,14.1,18.1,21.6,4.3,21.1,14.7,8.1,14.1
329,NOLAN TRAORE,BKN,19,3,0,3,33.0,13.5,8.7,14.5,20.0,17.6,8.3,12.5,0.0,4.8,2.9,36.4,13.3,66.7,0.0,0.0,41.7,9.1,10.3
330,HARRISON BARNES,SAS,33,10,8,2,302.0,13.4,14.9,13.8,28.4,22.6,12.5,10.4,11.3,10.0,10.3,14.3,14.4,14.8,7.7,6.3,16.7,10.3,16.1
331,KEATON WALLACE,ATL,26,10,6,4,158.0,13.4,15.8,14.3,28.6,19.3,3.4,5.6,3.2,15.6,13.1,32.2,16.3,17.2,8.7,10.0,23.4,10.5,15.3
332,CHRIS YOUNGBLOOD,OKC,23,10,10,0,49.0,13.4,8.6,14.5,18.8,22.9,33.3,28.6,20.0,10.3,11.4,4.8,0.0,0.0,0.0,0.0,30.8,20.0,14.4
333,XAVIER TILLMAN,BOS,26,7,3,4,61.0,13.4,18.4,16.5,10.0,13.1,0.0,0.0,38.9,27.0,30.9,17.4,7.7,42.9,16.7,33.3,20.0,10.5,14.4
334,JEFF GREEN,HOU,39,3,3,0,13.0,13.3,33.3,20.0,75.0,44.4,0.0,0.0,50.0,0.0,12.5,0.0,0.0,0.0,33.3,0.0,14.3,0.0,34.6
334,JONATHAN ISAAC,ORL,28,10,5,5,82.0,13.3,16.3,14.3,17.6,20.3,11.1,16.0,16.7,31.4,25.9,3.0,10.3,33.3,50.0,0.0,13.8,15.4,15.0
336,LONZO BALL,CLE,28,9,5,4,211.0,13.2,8.9,12.4,13.9,17.4,3.4,4.5,16.7,20.5,19.2,38.3,26.1,18.6,5.3,5.6,19.1,8.1,8.7
337,CHRIS PAUL,LAC,40,8,3,5,103.0,13.2,8.1,14.0,20.0,23.8,4.8,3.7,18.5,13.6,15.1,53.7,15.2,32.1,0.0,10.0,29.5,12.1,9.3
338,HUNTER TYSON,DEN,25,4,4,0,14.0,13.2,0.0,18.5,0.0,18.8,0.0,0.0,25.0,50.0,45.0,0.0,0.0,0.0,0.0,66.7,22.2,0.0,0.0
338,NOAH PENDA,ORL,20,6,2,4,45.0,13.2,14.6,13.8,13.3,6.1,21.4,19.0,35.7,17.2,23.3,18.5,12.5,14.3,20.0,0.0,35.3,15.8,15.3
340,JALEN PICKETT,DEN,26,5,5,0,39.0,13.1,14.7,15.3,20.0,17.2,7.1,6.3,9.1,13.3,12.2,28.6,13.3,0.0,0.0,25.0,13.6,11.8,13.8
340,SPENCER JONES,DEN,24,6,5,1,39.0,13.1,12.1,11.4,8.3,12.9,7.7,12.5,28.6,0.0,4.3,9.1,26.7,75.0,33.3,0.0,20.0,7.7,11.0
342,GUI SANTOS,GSW,23,10,5,5,60.0,13.1,13.6,13.3,23.5,24.0,2.9,4.8,28.6,22.6,25.0,6.5,20.8,20.0,0.0,0.0,30.8,12.1,12.1
343,JETT HOWARD,ORL,22,7,3,4,49.0,13.1,9.1,16.0,28.6,33.3,0.0,0.0,7.7,9.4,8.9,17.9,7.1,0.0,20.0,0.0,22.2,5.0,9.7
344,OSO IGHODARO,PHX,23,11,6,5,177.0,13.1,12.2,12.2,0.0,0.0,10.5,15.5,11.9,28.3,23.6,15.9,22.1,6.1,26.1,25.0,34.1,17.6,10.3
345,CLINT CAPELA,HOU,31,9,6,3,89.0,13.0,16.9,12.1,0.0,0.0,30.8,27.8,61.5,29.2,41.3,7.8,11.4,23.1,60.0,0.0,31.0,21.9,15.9
346,JOSH OKOGIE,HOU,27,9,6,3,203.0,13.0,12.8,13.1,26.9,25.9,17.3,16.7,12.3,7.9,9.3,10.2,9.4,29.3,8.3,25.0,24.4,19.6,15.1
347,KEON ELLIS,SAC,25,10,3,7,180.0,13.0,14.2,15.1,34.1,30.3,8.4,9.6,11.1,14.5,13.9,8.3,7.3,35.1,12.5,0.0,33.8,10.1,15.0
348,YVES MISSI,NOP,21,5,0,5,116.0,12.9,15.3,10.1,0.0,0.0,22.5,28.6,48.6,25.4,33.7,10.1,21.6,4.3,66.7,0.0,22.0,22.9,14.0
349,JAVONTE GREEN,DET,32,11,9,2,225.0,12.8,11.4,15.1,19.6,22.8,9.6,9.6,17.2,18.1,17.8,13.7,7.9,19.6,19.2,16.7,14.4,9.0,11.8
350,CASON WALLACE,OKC,22,10,9,1,303.0,12.8,12.0,13.6,22.0,18.9,6.5,6.2,14.5,12.8,13.2,19.0,14.3,35.7,8.8,9.7,16.7,7.4,12.1
351,TERRENCE SHANNON JR.,MIN,25,7,4,3,115.0,12.8,9.9,14.1,14.3,15.1,11.4,12.5,12.0,21.9,19.1,17.8,13.0,22.2,0.0,50.0,16.7,21.6,10.6
352,MICAH PEAVY,NOP,24,6,1,5,70.0,12.8,8.9,15.2,7.1,15.2,3.1,4.5,30.0,16.7,21.0,10.3,10.0,8.3,25.0,0.0,31.0,3.3,7.6
352,TONY BRADLEY,IND,27,10,1,9,131.0,12.8,22.6,13.1,0.0,1.0,19.6,20.0,42.6,16.5,26.2,11.5,7.1,10.5,50.0,36.4,30.0,17.9,19.6
354,AJ GREEN,MIL,26,11,7,4,304.0,12.8,13.5,14.0,29.6,28.5,7.2,7.6,1.8,13.9,11.2,11.7,11.2,9.3,2.6,4.5,27.2,9.8,14.9
355,JUSTIN CHAMPAGNIE,WAS,24,10,0,10,91.0,12.8,9.6,11.9,8.0,12.9,37.5,34.1,48.6,36.4,41.8,9.1,6.9,28.6,0.0,6.3,24.5,25.0,13.8
356,LUKE KORNET,SAS,30,3,3,0,70.0,12.7,20.0,12.8,0.0,0.0,19.4,21.7,39.4,16.7,24.7,25.0,4.0,0.0,40.0,12.5,13.2,26.7,18.1
357,KRIS DUNN,LAC,31,10,3,7,260.0,12.7,15.2,12.9,12.9,10.7,5.5,8.1,18.5,10.8,12.7,14.6,16.7,29.8,8.7,23.3,23.3,6.9,13.4
358,JASE RICHARDSON,ORL,20,6,2,4,28.0,12.7,4.5,10.6,0.0,15.0,8.3,14.3,0.0,6.3,4.2,31.3,23.1,0.0,0.0,0.0,7.7,28.6,4.7
359,ANDRE DRUMMOND,PHI,32,9,6,3,167.0,12.6,15.9,13.2,9.5,8.8,12.3,16.2,53.2,42.1,45.3,7.2,6.4,29.2,47.4,16.7,24.7,18.9,14.6
360,PRECIOUS ACHIUWA,SAC,26,3,1,2,55.0,12.6,19.0,13.6,0.0,7.9,12.1,14.6,41.7,27.9,30.9,0.0,11.1,12.5,40.0,0.0,18.8,25.0,15.3
361,DUOP REATH,POR,29,7,5,2,59.0,12.6,20.8,15.9,38.5,27.9,0.0,0.0,6.7,8.3,7.8,12.5,5.3,0.0,12.5,0.0,17.6,0.0,19.9
362,JAYLEN CLARK,MIN,24,9,7,2,145.0,12.6,13.1,13.6,13.6,14.6,12.3,15.4,27.0,10.9,15.5,11.1,9.1,27.6,11.1,0.0,30.3,12.3,13.0
363,CODY MARTIN,IND,30,3,0,3,50.0,12.5,6.9,10.5,0.0,11.9,13.3,20.0,7.7,27.3,22.8,11.1,21.1,40.0,20.0,16.7,21.7,23.5,7.5
363,GARY HARRIS,MIL,31,4,3,1,16.0,12.5,11.1,15.4,0.0,9.1,0.0,0.0,25.0,25.0,25.0,33.3,14.3,50.0,0.0,50.0,22.2,0.0,6.9
363,MYRON GARDNER,MIA,24,1,1,0,3.0,12.5,25.0,12.5,50.0,20.0,0.0,0.0,0.0,100,100,50.0,0.0,0.0,0.0,0.0,66.7,0.0,30.0
366,SVI MYKHAILIUK,UTA,28,10,3,7,272.0,12.4,16.0,14.9,29.6,24.5,3.4,3.5,9.2,9.9,9.7,11.9,8.3,15.9,5.9,3.0,12.0,5.8,15.2
367,DOMINICK BARLOW,PHI,22,2,2,0,50.0,12.4,11.9,11.1,0.0,8.7,23.8,21.4,60.0,18.2,27.9,17.2,21.4,0.0,20.0,25.0,21.1,18.2,12.0
368,CHAZ LANIER,DET,23,7,6,1,61.0,12.4,11.9,15.9,35.7,33.3,0.0,0.0,11.5,5.9,8.3,11.8,4.0,9.1,0.0,0.0,0.0,2.9,12.2
369,CHARLES BASSEY,MEM,25,2,0,2,31.0,12.3,12.5,13.3,0.0,0.0,7.1,16.7,53.8,40.0,45.5,11.8,8.3,16.7,20.0,33.3,35.7,18.2,9.9
370,LUGUENTZ DORT,OKC,26,7,7,0,223.0,12.3,8.9,12.8,12.3,19.9,10.5,10.0,25.0,13.4,16.2,10.8,11.1,17.5,0.0,9.1,21.3,15.7,9.6
370,TAYLOR HENDRICKS,UTA,21,9,3,6,148.0,12.3,12.4,13.8,13.8,15.6,10.5,11.9,32.7,19.6,23.6,4.5,8.5,16.7,37.5,16.7,6.6,7.7,12.2
372,ERIC GORDON,PHI,36,3,2,1,21.0,12.3,12.5,11.9,28.6,25.0,0.0,0.0,0.0,0.0,0.0,9.1,22.2,25.0,0.0,0.0,16.7,0.0,12.3
372,PJ HALL,MEM,23,6,2,4,20.0,12.3,20.0,13.5,16.7,9.1,11.8,10.0,40.0,26.7,30.0,7.7,14.3,0.0,66.7,0.0,42.9,8.3,17.0
374,JAMES WISEMAN,IND,24,1,0,1,20.0,12.2,22.2,8.6,0.0,0.0,0.0,0.0,80.0,0.0,19.0,0.0,37.5,0.0,50.0,0.0,28.6,0.0,16.7
374,JARRED VANDERBILT,LAL,26,11,8,3,219.0,12.2,9.9,11.5,3.8,7.1,13.8,12.3,36.2,34.5,34.9,15.7,18.2,30.8,25.0,40.0,23.8,15.0,10.1
376,DERECK LIVELY II,DAL,21,3,1,2,51.0,12.2,14.0,9.1,0.0,0.0,8.0,12.5,36.4,24.4,26.8,30.0,27.8,20.0,66.7,11.1,36.0,11.1,12.1
377,DALEN TERRY,CHI,23,6,3,3,31.0,12.2,17.4,15.0,12.5,7.7,20.0,16.7,0.0,8.0,6.1,17.6,0.0,0.0,28.6,12.5,26.7,7.1,17.2
378,JOAN BERINGER,MIN,19,7,4,3,29.0,12.2,20.0,12.7,0.0,0.0,0.0,8.3,25.0,29.2,28.6,0.0,20.0,25.0,100,0.0,38.9,9.1,16.2
379,JABARI WALKER,PHI,23,10,6,4,134.0,12.1,12.6,13.3,5.1,9.2,4.4,5.5,45.7,23.0,30.3,3.2,10.9,8.3,15.0,35.0,28.8,10.7,10.7
379,TAELON PETER,IND,23,7,1,6,65.0,12.1,5.7,10.9,21.4,23.6,16.7,12.0,12.5,9.6,10.3,21.2,20.8,10.0,12.5,0.0,10.7,8.0,8.7
381,GARY PAYTON II,GSW,32,10,5,5,80.0,12.0,14.7,13.7,3.8,10.1,0.0,0.0,19.2,25.0,23.2,17.8,16.1,30.8,16.7,20.0,25.0,0.0,10.6
382,TYSON ETIENNE,BKN,26,3,0,3,21.0,12.0,0.0,17.1,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,7.1,0.0
383,BRONNY JAMES,LAL,21,7,5,2,89.0,12.0,9.6,13.7,10.0,10.5,4.7,3.7,16.7,6.6,8.9,31.7,14.3,33.3,9.1,22.2,30.6,2.3,8.6
384,MIKE CONLEY,MIN,38,11,7,4,223.0,12.0,10.2,11.8,21.4,18.4,14.2,11.2,10.6,12.8,12.3,32.5,16.7,17.9,15.0,0.0,18.8,9.9,12.3
385,NIQUE CLIFFORD,SAC,23,6,2,4,130.0,11.9,10.5,13.3,10.8,14.8,3.8,5.6,25.0,17.9,19.3,18.8,10.4,19.0,21.4,20.0,26.9,5.3,9.5
386,DUNCAN ROBINSON,DET,31,11,9,2,358.0,11.9,12.7,13.7,33.0,30.1,9.0,8.6,3.8,9.7,8.0,9.7,5.9,10.6,7.8,6.1,15.8,8.6,14.0
387,N'FALY DANTE,ATL,24,4,3,1,15.0,11.9,8.3,13.3,0.0,0.0,14.3,11.1,42.9,36.4,38.9,0.0,20.0,50.0,0.0,0.0,20.0,28.6,8.3
388,CRAIG PORTER JR.,CLE,25,11,7,4,169.0,11.9,12.6,12.1,10.3,11.7,4.5,7.7,34.0,17.7,23.1,23.4,16.4,22.0,14.3,0.0,13.8,13.3,11.0
389,RYAN KALKBRENNER,CHA,23,10,3,7,266.0,11.7,18.3,10.7,0.0,0.4,7.4,7.5,55.9,16.8,25.8,3.3,21.1,30.3,82.1,16.7,21.2,9.0,14.2
390,TIDJANE SALAÜN,CHA,20,7,3,4,83.0,11.7,8.8,12.7,12.5,17.1,9.8,10.7,20.8,34.5,30.5,10.4,9.7,14.3,14.3,11.1,24.2,7.1,9.4
391,DONOVAN CLINGAN,POR,21,10,5,5,247.0,11.6,15.5,13.7,9.0,11.5,10.2,9.0,48.3,27.4,34.5,10.4,5.1,15.3,68.4,16.7,26.2,11.5,13.8
392,RUDY GOBERT,MIN,33,11,7,4,352.0,11.6,16.9,10.8,0.0,0.0,10.9,16.2,46.5,29.5,33.1,8.2,15.3,8.8,40.8,14.3,22.6,25.3,13.8
393,MONTÉ MORRIS,IND,30,2,0,2,35.0,11.6,21.1,14.9,33.3,20.0,5.6,8.0,0.0,13.8,9.5,28.6,0.0,14.3,0.0,0.0,12.5,5.6,17.7
394,OUSMANE DIENG,OKC,22,8,7,1,81.0,11.5,6.8,13.5,10.5,17.2,6.1,5.1,13.3,18.9,18.0,11.1,8.3,9.1,45.5,14.3,24.3,3.2,7.1
395,JULIAN PHILLIPS,CHI,22,9,5,4,56.0,11.5,7.7,13.6,4.0,13.7,0.0,0.0,33.3,2.6,11.1,2.7,5.9,33.3,40.0,33.3,19.2,4.8,6.3
396,KOBE BROWN,LAC,25,6,1,5,52.0,11.5,12.5,12.2,8.3,14.3,12.5,8.3,30.8,25.0,26.5,25.0,14.3,0.0,0.0,25.0,13.3,10.3,12.0
397,DEANDRE JORDAN,NOP,37,2,0,2,23.0,11.3,44.4,12.8,0.0,0.0,9.1,15.4,57.1,42.9,47.6,0.0,14.3,0.0,0.0,50.0,16.7,21.4,30.0
398,DARIO ŠARIĆ,SAC,31,3,1,2,28.0,11.3,4.0,11.4,12.5,13.3,22.2,18.2,100,22.2,26.3,12.5,10.0,0.0,0.0,33.3,0.0,8.3,7.5
399,NICOLAS BATUM,LAC,36,10,3,7,162.0,11.2,8.2,13.2,21.4,25.4,0.0,0.0,13.9,22.0,19.9,9.2,10.2,21.9,31.6,5.6,23.4,1.3,8.1
400,AMARI WILLIAMS,BOS,23,2,0,2,7.0,11.1,12.5,12.5,0.0,0.0,0.0,0.0,33.3,20.0,25.0,20.0,0.0,50.0,0.0,50.0,33.3,0.0,10.5
400,ELIJAH HARKLESS,UTA,25,5,1,4,62.0,11.1,7.8,11.3,13.3,16.7,7.9,10.4,18.2,10.0,11.8,11.8,13.6,33.3,0.0,0.0,23.8,18.9,8.4
400,JARED MCCAIN,PHI,21,2,0,2,24.0,11.1,0.0,13.5,0.0,14.3,0.0,0.0,0.0,7.1,4.8,33.3,0.0,14.3,0.0,28.6,33.3,0.0,0.0
400,KYLE LOWRY,PHI,39,1,1,0,3.0,11.1,20.0,12.5,100,33.3,0.0,0.0,0.0,0.0,0.0,33.3,0.0,100,0.0,0.0,0.0,0.0,27.3
404,HUGO GONZÁLEZ,BOS,19,9,4,5,123.0,10.9,11.5,11.3,8.9,7.3,0.0,2.4,24.1,17.4,19.4,12.1,19.0,28.6,7.7,14.3,28.8,19.1,9.9
405,NIGEL HAYES-DAVIS,PHX,30,10,5,5,85.0,10.8,14.3,13.2,4.2,9.7,0.0,0.0,31.3,14.6,18.8,9.8,10.3,27.8,0.0,0.0,23.7,3.4,10.6
406,STEVEN ADAMS,HOU,32,8,5,3,177.0,10.8,13.1,9.8,0.0,0.0,14.9,14.3,59.4,27.7,38.8,15.4,13.2,20.0,25.0,0.0,26.9,17.3,12.4
407,TAUREAN PRINCE,MIL,31,8,5,3,169.0,10.8,10.7,12.1,25.0,21.1,5.7,4.2,0.0,10.8,8.7,8.4,9.8,20.0,13.3,7.7,25.3,7.5,11.7
408,SION JAMES,CHA,22,10,3,7,252.0,10.7,13.9,11.2,21.5,13.4,11.1,10.4,4.5,14.0,11.4,10.3,10.4,15.6,12.1,21.1,16.0,11.8,14.4
409,DYLAN CARDWELL,SAC,23,3,1,2,33.0,10.6,6.5,9.2,0.0,4.5,7.7,9.1,20.0,27.3,23.8,0.0,25.0,28.6,75.0,40.0,58.8,8.7,6.0
410,LINDY WATERS III,SAS,28,4,3,1,37.0,10.5,15.2,13.6,55.6,30.0,0.0,0.0,0.0,18.2,13.3,14.3,0.0,0.0,0.0,0.0,20.0,6.7,16.7
411,DEAN WADE,CLE,28,10,6,4,213.0,10.4,10.7,12.2,18.1,17.9,10.0,10.1,19.6,17.9,18.4,10.5,3.0,16.3,23.8,11.8,22.7,13.3,11.6
412,KRIS MURRAY,POR,25,9,4,5,197.0,10.4,11.8,11.3,6.1,8.9,4.3,5.3,17.2,11.4,13.4,8.9,9.5,23.8,11.1,9.1,18.9,5.4,9.8
413,MATISSE THYBULLE,POR,28,4,2,2,49.0,10.2,15.4,11.1,22.2,13.6,13.8,12.5,0.0,15.4,12.5,10.3,5.6,50.0,0.0,16.7,25.0,19.2,16.0
414,JORDAN WALSH,BOS,21,7,4,3,92.0,10.1,11.8,11.2,14.3,11.4,0.0,0.0,28.6,26.3,27.1,11.5,9.5,29.4,14.3,21.4,21.6,3.0,10.9
415,OCHAI AGBAJI,TOR,25,9,4,5,125.0,10.1,7.8,10.9,2.7,13.3,10.9,14.0,6.9,19.5,16.4,7.5,6.8,27.8,12.5,16.7,25.4,13.5,7.7
416,GOGA BITADZE,ORL,26,11,5,6,187.0,10.1,14.5,10.4,4.5,5.0,14.4,16.2,38.1,29.9,31.8,15.0,7.7,15.6,55.6,6.7,29.5,16.1,13.6
417,DWIGHT POWELL,DAL,34,10,3,7,96.0,10.0,7.7,7.1,0.0,0.0,29.4,26.6,52.9,14.9,22.0,15.6,14.3,25.0,22.2,20.0,41.7,27.8,11.7
418,MILES KELLY,DAL,22,1,1,0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
418,MITCHELL ROBINSON,NYK,27,4,3,1,66.0,10.0,14.5,10.6,0.0,0.0,0.0,3.7,64.7,27.3,43.6,8.5,13.3,30.0,87.5,16.7,32.0,9.1,10.4
420,CALEB MARTIN,DAL,30,9,2,7,82.0,9.8,8.9,12.2,6.3,9.1,7.3,6.9,33.3,12.7,17.8,14.3,8.1,26.7,11.1,20.0,39.0,5.3,8.3
421,JOHNNY FURPHY,IND,20,3,1,2,37.0,9.8,10.3,9.2,33.3,13.6,0.0,0.0,12.5,20.0,18.2,0.0,33.3,33.3,0.0,0.0,25.0,4.2,8.7
422,JAXSON HAYES,LAL,25,8,6,2,142.0,9.8,15.6,11.0,2.8,0.9,4.5,8.5,33.3,25.7,27.3,15.1,6.7,9.1,55.6,40.0,24.2,23.9,12.1
423,GABE VINCENT,LAL,29,3,2,1,72.0,9.6,4.5,11.1,14.3,22.7,7.9,6.3,9.1,4.3,5.3,16.3,8.3,30.0,0.0,60.0,23.3,10.0,6.0
424,ARIEL HUKPORTI,NYK,23,6,4,2,54.0,9.6,10.3,7.9,0.0,0.0,0.0,0.0,58.3,24.4,32.1,18.5,33.3,11.1,50.0,50.0,31.0,4.2,7.1
425,CALEB HOUSTAN,ATL,22,4,3,1,24.0,9.3,10.0,7.5,20.0,11.8,50.0,37.5,50.0,0.0,12.5,9.1,14.3,0.0,50.0,0.0,12.5,16.7,15.7
426,TYUS JONES,ORL,29,11,5,6,137.0,9.2,9.4,11.0,9.1,16.5,0.0,0.0,6.7,6.7,6.7,24.5,11.1,17.4,11.8,0.0,16.7,4.1,7.0
427,RAYAN RUPERT,POR,21,4,4,0,25.0,9.2,10.0,10.2,10.0,11.1,0.0,0.0,12.5,26.7,21.7,15.4,10.0,22.2,0.0,20.0,20.0,20.0,8.8
428,ISAIAH LIVERS,PHX,27,6,2,4,55.0,9.2,8.2,10.6,13.0,17.5,8.0,5.9,12.5,6.3,8.3,9.3,7.1,13.3,25.0,0.0,20.0,8.0,8.9
429,DARON HOLMES II,DEN,23,2,2,0,4.0,9.1,33.3,25.0,100,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,30.0
429,JAMIR WATKINS,WAS,24,3,0,3,21.0,9.1,18.8,11.1,0.0,6.3,0.0,0.0,14.3,27.8,24.0,0.0,10.0,0.0,33.3,0.0,30.8,8.3,11.3
431,HARRISON INGRAM,SAS,22,3,2,1,11.0,8.8,13.3,11.5,33.3,12.5,0.0,0.0,42.9,0.0,25.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,13.9
431,PACÔME DADIET,NYK,20,4,4,0,12.0,8.8,0.0,8.3,0.0,0.0,50.0,25.0,0.0,27.3,21.4,12.5,0.0,0.0,0.0,0.0,20.0,20.0,8.3
433,KELLY OLYNYK,SAS,34,3,2,1,19.0,8.7,20.0,8.8,0.0,0.0,0.0,0.0,60.0,22.2,35.7,45.5,16.7,0.0,0.0,0.0,33.3,18.2,13.6
434,ROBERT WILLIAMS III,POR,28,5,2,3,51.0,8.7,18.2,11.0,11.1,5.6,0.0,3.1,56.3,36.4,44.7,15.4,0.0,18.2,28.6,14.3,16.7,8.3,14.2
435,DANNY WOLF,BKN,21,1,0,1,4.0,8.3,0.0,12.5,0.0,0.0,0.0,0.0,0.0,25.0,14.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,JEVON CARTER,CHI,30,2,0,2,20.0,7.8,8.3,8.9,15.4,18.2,0.0,0.0,0.0,7.7,5.3,17.6,0.0,0.0,0.0,0.0,14.3,0.0,9.7
437,JONATHAN MOGBO,TOR,24,6,2,4,33.0,7.8,10.3,9.5,0.0,0.0,0.0,0.0,33.3,35.3,34.6,16.7,10.0,14.3,40.0,25.0,25.0,0.0,6.8
438,ISAAC JONES,DET,25,3,1,2,17.0,7.7,9.1,6.7,0.0,11.1,33.3,50.0,66.7,0.0,22.2,33.3,0.0,0.0,0.0,0.0,57.1,16.7,11.5
439,BAYLOR SCHEIERMAN,BOS,25,8,4,4,70.0,7.6,12.3,8.6,25.0,14.9,4.0,3.4,15.0,31.9,26.9,6.9,7.7,27.3,0.0,0.0,21.4,15.4,12.6
440,ADEM BONA,PHI,22,10,6,4,153.0,7.6,5.7,6.1,0.0,0.9,10.4,15.2,33.3,19.2,23.2,4.6,12.1,17.9,60.7,8.3,20.3,15.2,6.2
441,JOHN KONCHAR,MEM,29,9,4,5,114.0,7.5,11.2,8.2,16.7,12.0,1.9,1.6,8.3,26.2,22.2,13.2,12.5,36.8,33.3,0.0,11.4,2.1,10.2
442,MASON PLUMLEE,CHA,35,3,2,1,12.0,7.4,8.3,5.3,0.0,0.0,0.0,0.0,0.0,33.3,30.0,14.3,20.0,0.0,0.0,0.0,25.0,25.0,6.3
443,SIDY CISSOKO,POR,21,5,2,3,50.0,7.4,8.9,7.5,8.3,6.8,11.1,15.2,21.7,18.2,20.0,12.0,0.0,16.7,0.0,0.0,38.5,16.0,9.3
444,BROOKS BARNHIZER,OKC,23,9,8,1,60.0,7.2,9.3,9.4,0.0,2.1,0.0,0.0,42.9,26.1,28.3,8.7,4.3,10.0,25.0,75.0,26.7,0.0,6.1
445,JERICHO SIMS,MIL,27,6,3,3,25.0,6.7,6.3,2.5,0.0,0.0,37.5,40.0,50.0,15.4,23.5,0.0,10.0,0.0,100,0.0,20.0,18.2,11.1
446,AMIR COFFEY,MIL,28,11,7,4,113.0,6.4,6.0,7.4,3.7,9.1,10.3,7.3,25.0,11.3,13.5,11.7,3.2,0.0,10.0,14.3,10.0,2.4,6.3
447,MAXI KLEBER,LAL,33,1,0,1,14.0,6.1,0.0,4.2,0.0,11.1,33.3,50.0,0.0,16.7,12.5,16.7,0.0,0.0,66.7,0.0,0.0,50.0,3.6
448,JOE INGLES,MIN,38,4,2,2,16.0,4.9,0.0,7.1,0.0,20.0,0.0,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,25.0,0.0,0.0
449,CHRIS MANON,LAL,23,2,1,1,7.0,4.5,0.0,6.3,0.0,16.7,0.0,0.0,0.0,50.0,22.2,0.0,0.0,0.0,100,0.0,66.7,0.0,0.0
450,BISMACK BIYOMBO,SAS,33,5,4,1,44.0,4.1,2.9,2.8,0.0,0.0,0.0,0.0,22.2,15.8,17.9,9.5,16.7,33.3,0.0,0.0,40.9,6.3,2.0
451,ANDRE JACKSON JR.,MIL,23,3,1,2,13.0,3.1,0.0,5.6,0.0,0.0,0.0,0.0,50.0,0.0,14.3,40.0,0.0,66.7,0.0,0.0,0.0,10.0,0.0
452,CHRISTIAN KOLOKO,LAL,25,2,1,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,25.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0
452,ORLANDO ROBINSON,ORL,25,1,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,0.0
452,TREY JEMISON III,NYK,25,1,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
