id,full_name,first_name,last_name
1964446464622743156,Tyus Jones,Tyus,Jones
2104304360462048352,AJ Johnson,AJ,Johnson
1680525983151611008,Khris Middleton,Khris,Middleton
5771288122029042674,Kyrie Irving,Kyrie,Irving
-9045049410728454824,Bruce Brown,Bruce,Brown
2114504255528683439,Tim Hardaway Jr.,Tim,Jr.
4226087079700975751,Jamal Murray,Jamal,Murray
4214307371581021099,Peyton Watson,Peyton,Watson
4919443895998538845,Spencer Jones (TW),Spencer,(TW)
-3904963691922248863,Jonas Valančiūnas,Jonas,Valančiūnas
784261373066667348,Zeke Nnaji,Zeke,Nnaji
8908323341474745325,Nikola Jokić,Nikola,Jokić
-1603798303196997039,Jalen Pickett,Jalen,Pickett
2738590524575078759,Julian Strawther,Julian,Strawther
5403385789491351737,Cameron Johnson,Cameron,Johnson
5448496572369318966,Aaron Gordon,Aaron,Gordon
-2638868571682369189,Christian Braun,Christian,Braun
5039824737346801153,DaRon Holmes,DaRon,Holmes
599475589657232906,Curtis Jones (TW),Curtis,(TW)
-5377094954861125143,Tamar Bates (TW),Tamar,(TW)
1175816281738082060,Javonte Green,Javonte,Green
2994299072640588568,Duncan Robinson,Duncan,Robinson
-6207224807125314967,Ron Holland,Ron,Holland
-8754924019464430661,Ausar Thompson,Ausar,Thompson
7577038346139384792,Isaiah Stewart,Isaiah,Stewart
-4800150336295916086,Cade Cunningham,Cade,Cunningham
-93160741944916156,Jalen Duren,Jalen,Duren
-988339432982635902,Daniss Jenkins,Daniss,Jenkins
7142891520143532703,Paul Reed,Paul,Reed
3022695261900684783,Tobias Harris,Tobias,Harris
8575964603180852677,Caris LeVert,Caris,LeVert
4775317328780947725,Chaz Lanier,Chaz,Lanier
7137738269384611603,Marcus Sasser,Marcus,Sasser
1662207790533694251,Bobi Klintman,Bobi,Klintman
-9072412653765167946,Tolu Smith (TW),Tolu,(TW)
-2353757921119912895,Wendell Moore Jr. (TW),Wendell,(TW)
-9144712880032275758,Kevin Huerter,Kevin,Huerter
8798377405752146569,Brandin Podziemski,Brandin,Podziemski
6665651350275406020,Quinten Post,Quinten,Post
-8297028859939338946,Moses Moody,Moses,Moody
4245811058165735269,Will Richard,Will,Richard
1897061026382157556,Gary Payton II,Gary,II
-3805286995717011039,Draymond Green,Draymond,Green
-111358318786751638,Gui Santos,Gui,Santos
-3725615518677998259,Stephen Curry,Stephen,Curry
3235994914390428845,Jimmy Butler,Jimmy,Butler
-7594120538828271711,Pat Spencer,Pat,Spencer
142264020401349829,Al Horford,Al,Horford
-5482287129236794410,De'Anthony Melton,De'Anthony,Melton
-2309761903531621490,Malevy Leons (TW),Malevy,(TW)
-6552594950124113602,LJ Cryer (TW),LJ,(TW)
5002385618995435782,Seth Curry,Seth,Curry
-2492939597349637898,Kristaps Porziņģis,Kristaps,Porziņģis
-8843115794886135889,Reed Sheppard,Reed,Sheppard
1206302468871145830,Amen Thompson,Amen,Thompson
-1375732848173130167,Jabari Smith Jr.,Jabari,Jr.
-3220077557415850081,Josh Okogie,Josh,Okogie
7230178656536743593,Kevin Durant,Kevin,Durant
194364941724353877,Clint Capela,Clint,Capela
8655471255596408427,Alperen Şengün,Alperen,Şengün
1675284489211349746,Aaron Holiday,Aaron,Holiday
1680339401390152647,Steven Adams,Steven,Adams
-3282807211707574921,Jae'Sean Tate,Jae'Sean,Tate
-4802576328838952922,Tari Eason,Tari,Eason
7307425665230998872,JD Davison (TW),JD,(TW)
3638922946046182997,Dorian Finney-Smith,Dorian,Finney-Smith
4098499906791737829,Jeff Green,Jeff,Green
5506741022674128995,Isaiah Crawford (TW),Isaiah,(TW)
-1759808087649287055,Fred VanVleet,Fred,VanVleet
-6623190681424825551,Tristen Newton (TW),Tristen,(TW)
-8730414114397876789,Jay Huff,Jay,Huff
-8999042617468988653,Jarace Walker,Jarace,Walker
7639325078094191220,Pascal Siakam,Pascal,Siakam
-5455557857385332097,Andrew Nembhard,Andrew,Nembhard
8923139780356709092,Ben Sheppard,Ben,Sheppard
5518167963754871902,T.J. McConnell,T.J.,McConnell
60634558814372027,Johnny Furphy,Johnny,Furphy
-2352922281553784317,Aaron Nesmith,Aaron,Nesmith
-3367036285888184453,Quenton Jackson (TW),Quenton,(TW)
6740809263711839969,Taelon Peter (TW),Taelon,(TW)
-4439712634653296172,Micah Potter,Micah,Potter
3126188439509771739,Ethan Thompson (TW),Ethan,(TW)
4408009600644314512,Kam Jones,Kam,Jones
804111226948797328,Obi Toppin,Obi,Toppin
-170573235290249202,Kobe Brown,Kobe,Brown
-9169724552353978306,Ivica Zubac,Ivica,Zubac
-5454798910832929070,Tyrese Haliburton,Tyrese,Haliburton
-7463131354060777972,Kris Dunn,Kris,Dunn
-1441028818945434081,Nicolas Batum,Nicolas,Batum
2880717179094302209,John Collins,John,Collins
3423876602971838647,Brook Lopez,Brook,Lopez
-5259151445273286336,Kobe Sanders,Kobe,Sanders
-1968263321901895322,Kawhi Leonard,Kawhi,Leonard
2224869385344394527,Cam Christie,Cam,Christie
-5862214701818363100,Yanic Konan Niederhäuser,Yanic,Niederhäuser
8609052171318639800,Jordan Miller (TW),Jordan,(TW)
8418408821080075061,Derrick Jones Jr.,Derrick,Jr.
-2119801210939259348,Bogdan Bogdanović,Bogdan,Bogdanović
820595875527613141,Bradley Beal,Bradley,Beal
-7066865601276366902,TyTy Washington Jr. (TW),TyTy,(TW)
-6429728194611319002,Dalano Banton,Dalano,Banton
7098602124272459770,Bennedict Mathurin,Bennedict,Mathurin
-4123002691586690374,Isaiah Jackson,Isaiah,Jackson
-4595081030371716054,Darius Garland,Darius,Garland
8886490372593450445,Jake LaRavia,Jake,LaRavia
8855788484790381912,Deandre Ayton,Deandre,Ayton
-5795138129259013925,Jaxson Hayes,Jaxson,Hayes
-5541544524846012522,Jarred Vanderbilt,Jarred,Vanderbilt
-7661178722353350667,Rui Hachimura,Rui,Hachimura
3975225828816052703,Marcus Smart,Marcus,Smart
2950430169139849432,Luka Dončić,Luka,Dončić
-4835330607919327690,Dalton Knecht,Dalton,Knecht
2975610177392777822,LeBron James,LeBron,James
7146848556776467005,Bronny James,Bronny,James
-1829280695061954197,Maxi Kleber,Maxi,Kleber
-4392041767043115610,Austin Reaves,Austin,Reaves
3605866140246474312,Nick Smith Jr. (TW),Nick,(TW)
-2978589495072366913,Drew Timme (TW),Drew,(TW)
-961695149306171713,Adou Thiero,Adou,Thiero
1287912172630367817,Kobe Bufkin,Kobe,Bufkin
3237135791987021289,Chris Mañon (TW),Chris,(TW)
6360552176023520074,Luke Kennard,Luke,Kennard
-612776770731028249,Jaylen Wells,Jaylen,Wells
7579288474259746476,Cam Spencer,Cam,Spencer
6388592602226717064,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope
5518156524094619508,Cedric Coward,Cedric,Coward
2974806758641187311,Santi Aldama,Santi,Aldama
1165114427622482636,GG Jackson II,GG,II
-5254697278751431562,Olivier-Maxence Prosper (TW),Olivier-Maxence,(TW)
4091673405205455057,Ja Morant,Ja,Morant
4741014667937183082,Javon Small (TW),Javon,(TW)
1380079097703186683,Zach Edey,Zach,Edey
2860578231618918528,Jahmai Mashack (TW),Jahmai,(TW)
-141916821153458246,Ty Jerome,Ty,Jerome
-5561600474088860512,Taylor Hendricks,Taylor,Hendricks
-3240433353896298204,Scotty Pippen Jr.,Scotty,Jr.
-3683608918088433018,Walter Clayton,Walter,Clayton
7304923172556882207,Kyle Anderson,Kyle,Anderson
-8644776403308145231,Brandon Clarke,Brandon,Clarke
309923606162455085,Lawson Lovering,Lawson,Lovering
-2635073462599088851,Dru Smith,Dru,Smith
1956639149219170638,Simone Fontecchio,Simone,Fontecchio
7085307006753524967,Kel'el Ware,Kel'el,Ware
5313388655430342686,Andrew Wiggins,Andrew,Wiggins
-5073883112326999938,Jaime Jaquez Jr.,Jaime,Jr.
1436712582277749091,Bam Adebayo,Bam,Adebayo
-1358824667671338478,Norman Powell,Norman,Powell
751995741384232448,Pelle Larsson,Pelle,Larsson
-4808000540366660187,Davion Mitchell,Davion,Mitchell
5792706639982992552,Nikola Jović,Nikola,Jović
4920243347937125150,Kasparas Jakučionis,Kasparas,Jakučionis
-893827826598448096,Myron Gardner (TW),Myron,(TW)
7892729323245904086,Keshad Johnson,Keshad,Johnson
6633266335833114396,Tyler Herro,Tyler,Herro
4494239961107017915,Jahmir Young (TW),Jahmir,(TW)
3434033909682483005,Vladislav Goldin (TW),Vladislav,(TW)
2237985433033497818,Terry Rozier,Terry,Rozier
279564296598441917,Ryan Rollins,Ryan,Rollins
-3080051737831547928,Bobby Portis,Bobby,Portis
-97359050916636471,Myles Turner,Myles,Turner
-6817567572191140933,Kyle Kuzma,Kyle,Kuzma
8703181730263031573,A.J. Green,A.J.,Green
-1561660103526152033,Gary Trent Jr.,Gary,Jr.
-315183575783449155,Jericho Sims,Jericho,Sims
5076717619673107594,Gary Harris,Gary,Harris
7686607296253524733,Giannis Antetokounmpo,Giannis,Antetokounmpo
-52629491098471475,Kevin Porter Jr.,Kevin,Jr.
8772875291219262088,Andre Jackson Jr.,Andre,Jr.
6043070107915420078,Pete Nance (TW),Pete,(TW)
-4395228349968184349,Thanasis Antetokounmpo,Thanasis,Antetokounmpo
1453002061390881735,Taurean Prince,Taurean,Prince
1423794011294699305,Cam Thomas,Cam,Thomas
-4069822811222713275,Ousmane Dieng,Ousmane,Dieng
3905928629910353962,Alex Antetokounmpo (TW),Alex,(TW)
-8173869715881420633,Julius Randle,Julius,Randle
-1746646941569321026,Naz Reid,Naz,Reid
8559267354957574573,Donte DiVincenzo,Donte,DiVincenzo
6905872283815868940,Jaden McDaniels,Jaden,McDaniels
3746213459859025640,Rudy Gobert,Rudy,Gobert
1630376877675229568,Jaylen Clark,Jaylen,Clark
4181356778119903349,Bones Hyland,Bones,Hyland
4428558881674500665,Anthony Edwards,Anthony,Edwards
6182277485476719373,Joan Beringer,Joan,Beringer
-8594360119517293502,Terrence Shannon Jr.,Terrence,Jr.
-7766345369980252804,Johnny Juzang (TW),Johnny,(TW)
-4623510839365570570,Joe Ingles,Joe,Ingles
2552256351424034825,Ayo Dosunmu,Ayo,Dosunmu
-2405105591226073219,Julian Phillips,Julian,Phillips
3124319875067591292,Enrique Freeman (TW),Enrique,(TW)
9110444208901916842,Rocco Zikarsky (TW),Rocco,(TW)
1551935594945787995,Jeremiah Fears,Jeremiah,Fears
-7141519575666231197,Derik Queen,Derik,Queen
-182572435205787222,Trey Murphy III,Trey,III
5834799338577078620,Saddiq Bey,Saddiq,Bey
3410811366205663431,Yves Missi,Yves,Missi
-1002349109082540431,Micah Peavy,Micah,Peavy
-1896433021217617485,Karlo Matković,Karlo,Matković
-8299883303896666879,Zion Williamson,Zion,Williamson
-8172724138275317653,Jordan Hawkins,Jordan,Hawkins
-3473530102082424211,Herbert Jones,Herbert,Jones
-3021773173279346338,Bryce McGowens (TW),Bryce,(TW)
1623489527219909997,Jordan Poole,Jordan,Poole
7446921694108681177,Kevon Looney,Kevon,Looney
-2180406179800955973,Trey Alexander (TW),Trey,(TW)
-2060971787816611047,DeAndre Jordan,DeAndre,Jordan
5634352131297968316,Hunter Dickinson (TW),Hunter,(TW)
7906532711407651004,Dejounte Murray,Dejounte,Murray
-2833364962287815148,Mikal Bridges,Mikal,Bridges
-7888115768666606802,Karl-Anthony Towns,Karl-Anthony,Towns
-5520607534726106077,Jordan Clarkson,Jordan,Clarkson
3466800065557938482,Jalen Brunson,Jalen,Brunson
-551218731822372969,Tyler Kolek,Tyler,Kolek
-7860387708988442415,Mohamed Diawara,Mohamed,Diawara
-7341180557462587268,Josh Hart,Josh,Hart
-6562915679780236094,OG Anunoby,OG,Anunoby
-7951976550502413872,Mitchell Robinson,Mitchell,Robinson
-3281196871189996851,Ariel Hukporti,Ariel,Hukporti
-8523589803221228587,Miles McBride,Miles,McBride
7126015844184399112,Landry Shamet,Landry,Shamet
-4580137055538749471,Pacome Dadiet,Pacome,Dadiet
4792911391461831210,Kevin McCullar Jr. (TW),Kevin,(TW)
4484261567119371685,Trey Jemison (TW),Trey,(TW)
7255827757144951052,Dillon Jones (TW),Dillon,(TW)
-6802578010682075785,Jose Alvarado,Jose,Alvarado
6313054103069937163,Cason Wallace,Cason,Wallace
-4445148386418208847,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander
-8765088070430887138,Chet Holmgren,Chet,Holmgren
-1596414004748428290,Isaiah Joe,Isaiah,Joe
-4716194377440591528,Ajay Mitchell,Ajay,Mitchell
-3015923682704386842,Luguentz Dort,Luguentz,Dort
-5631768978636380514,Aaron Wiggins,Aaron,Wiggins
-831152896075823547,Jaylin Williams,Jaylin,Williams
-6229457263882884844,Alex Caruso,Alex,Caruso
-3832889475985394978,Kenrich Williams,Kenrich,Williams
6767977226761213604,Branden Carlson (TW),Branden,(TW)
3196217875085821819,Isaiah Hartenstein,Isaiah,Hartenstein
4119120661825066864,Brooks Barnhizer (TW),Brooks,(TW)
-6369492070602202384,Jalen Williams,Jalen,Williams
2216697266586754568,Jared McCain,Jared,McCain
-5296798067130900337,Thomas Sorber,Thomas,Sorber
1398406552295261725,Nikola Topić,Nikola,Topić
1597650849095629987,Buddy Boeheim (TW),Buddy,(TW)
-3707258632639491490,Desmond Bane,Desmond,Bane
-3327426461798619266,Anthony Black,Anthony,Black
826757145762324644,Wendell Carter Jr.,Wendell,Jr.
-6384374583946055768,Tristan Da Silva,Tristan,Silva
-3063783927250991599,Jonathan Isaac,Jonathan,Isaac
-8846802173475194040,Paolo Banchero,Paolo,Banchero
1167670723685998339,Goga Bitadze,Goga,Bitadze
7324631674641443702,Jase Richardson,Jase,Richardson
-2583090717630440045,Noah Penda,Noah,Penda
-6946996355119296889,Jett Howard,Jett,Howard
3325244318482298948,Jalen Suggs,Jalen,Suggs
